order_item_id,order_id,product_id,quantity,discount_percentage,sales_amount,total_cost,profit
OI0000001,O000001,P0203,2,0,33493.82,22074.92,11418.9
OI0000002,O000001,P0245,1,0,1235.38,769.49,465.89
OI0000003,O000001,P0068,4,0,9024.96,7043.56,1981.4
OI0000004,O000003,P0092,5,5,13703.65,9054.55,4649.1
OI0000005,O000003,P0037,3,5,203056.74,143008.23,60048.51
OI0000006,O000003,P0152,4,5,13232.82,9166.16,4066.66
OI0000007,O000004,P0055,5,15,14596.58,10820.5,3776.08
OI0000008,O000004,P0018,4,0,17875.96,13199.2,4676.76
OI0000009,O000005,P0175,3,0,152108.22,107414.01,44694.21
OI0000010,O000006,P0228,5,20,315877.64,301771.75,14105.89
OI0000011,O000006,P0071,2,10,6796.87,4417.3,2379.57
OI0000012,O000007,P0008,1,10,18752.72,16119.31,2633.41
OI0000013,O000007,P0024,3,0,22712.07,15488.46,7223.61
OI0000014,O000007,P0007,3,10,5234.19,3225.03,2009.16
OI0000015,O000007,P0193,4,5,11661.86,7255.4,4406.46
OI0000016,O000008,P0209,4,10,87184.58,69226.64,17957.94
OI0000017,O000008,P0142,5,5,332924.6,219517.5,113407.1
OI0000018,O000008,P0184,1,15,4617.45,3407.2,1210.25
OI0000019,O000009,P0132,2,0,15428.74,9538.9,5889.84
OI0000020,O000009,P0104,5,10,3873.74,2414.7,1459.04
OI0000021,O000009,P0014,4,10,7584.05,5564.84,2019.21
OI0000022,O000009,P0243,2,5,4968.75,3746.64,1222.11
OI0000023,O000010,P0132,4,20,24685.98,19077.8,5608.18
OI0000024,O000010,P0033,5,15,14426.62,12918.2,1508.42
OI0000025,O000011,P0055,2,0,6868.98,4328.2,2540.78
OI0000026,O000011,P0031,2,20,26485.26,19241.12,7244.14
OI0000027,O000012,P0068,4,0,9024.96,7043.56,1981.4
OI0000028,O000012,P0143,4,0,117364.0,71166.32,46197.68
OI0000029,O000012,P0011,1,25,9954.28,9521.23,433.05
OI0000030,O000014,P0205,5,5,19067.07,11212.0,7855.07
OI0000031,O000014,P0102,4,5,2730.03,1589.36,1140.67
OI0000032,O000015,P0066,2,5,11246.48,8825.6,2420.88
OI0000033,O000015,P0002,4,15,26726.45,21913.0,4813.45
OI0000034,O000015,P0118,3,5,8971.83,6793.68,2178.15
OI0000035,O000015,P0005,1,10,3416.78,2721.14,695.64
OI0000036,O000016,P0097,2,15,61524.0,45264.86,16259.14
OI0000037,O000016,P0247,5,15,137091.91,128398.25,8693.66
OI0000038,O000016,P0184,1,15,4617.45,3407.2,1210.25
OI0000039,O000016,P0036,2,15,2220.27,1714.62,505.65
OI0000040,O000017,P0031,2,15,28140.59,19241.12,8899.47
OI0000041,O000017,P0149,5,5,7753.95,5083.15,2670.8
OI0000042,O000018,P0124,3,15,1506.44,1183.29,323.15
OI0000043,O000018,P0143,2,5,55747.9,35583.16,20164.74
OI0000044,O000019,P0154,2,15,25280.24,19671.98,5608.26
OI0000045,O000019,P0053,3,10,7301.93,5984.67,1317.26
OI0000046,O000020,P0165,4,10,216975.85,161813.32,55162.53
OI0000047,O000020,P0151,1,20,6622.86,5543.02,1079.84
OI0000048,O000020,P0215,4,10,1739.2,1151.12,588.08
OI0000049,O000021,P0009,3,25,112452.05,86988.72,25463.33
OI0000050,O000021,P0228,1,0,78969.41,60354.35,18615.06
OI0000051,O000021,P0070,3,10,2631.96,1998.9,633.06
OI0000052,O000021,P0140,3,0,9113.13,6816.42,2296.71
OI0000053,O000024,P0134,3,10,44216.39,36673.47,7542.92
OI0000054,O000024,P0208,5,0,66010.45,39042.25,26968.2
OI0000055,O000024,P0187,5,10,7999.69,5506.75,2492.94
OI0000056,O000026,P0090,3,15,8742.06,6469.74,2272.32
OI0000057,O000026,P0026,1,20,9394.64,9045.2,349.44
OI0000058,O000026,P0040,2,5,4452.27,3410.84,1041.43
OI0000059,O000026,P0248,1,20,1884.61,1694.91,189.7
OI0000060,O000027,P0079,5,10,163797.08,110177.25,53619.83
OI0000061,O000028,P0203,3,10,45216.66,33112.38,12104.28
OI0000062,O000028,P0097,5,0,180952.95,113162.15,67790.8
OI0000063,O000029,P0187,3,10,4799.82,3304.05,1495.77
OI0000064,O000029,P0087,5,15,18865.28,12217.8,6647.48
OI0000065,O000029,P0149,3,10,4407.51,3049.89,1357.62
OI0000066,O000029,P0090,3,0,10284.78,6469.74,3815.04
OI0000067,O000030,P0128,2,20,59181.26,45021.86,14159.4
OI0000068,O000030,P0147,2,15,121953.56,82255.58,39697.98
OI0000069,O000033,P0050,3,10,14621.77,9121.62,5500.15
OI0000070,O000033,P0233,2,15,23933.4,24668.6,-735.2
OI0000071,O000033,P0177,4,15,8297.83,6595.05,1702.78
OI0000072,O000033,P0101,4,5,17861.56,14021.0,3840.56
OI0000073,O000034,P0146,5,5,6762.95,4603.15,2159.8
OI0000074,O000034,P0054,2,15,130979.19,95343.7,35635.49
OI0000075,O000034,P0093,3,0,194797.92,135994.8,58803.12
OI0000076,O000035,P0153,3,0,42353.22,29514.81,12838.41
OI0000077,O000035,P0019,5,0,27745.55,21489.4,6256.15
OI0000078,O000035,P0150,5,10,189921.33,125127.85,64793.48
OI0000079,O000036,P0046,4,25,20411.46,17105.09,3306.37
OI0000080,O000036,P0111,2,0,6674.64,5132.98,1541.66
OI0000081,O000036,P0202,5,0,74095.35,42072.0,32023.35
OI0000082,O000037,P0218,1,0,54315.16,31242.2,23072.96
OI0000083,O000037,P0104,1,0,860.83,482.94,377.89
OI0000084,O000037,P0030,5,0,63514.8,39057.75,24457.05
OI0000085,O000037,P0094,3,5,34942.57,29046.48,5896.09
OI0000086,O000038,P0079,3,0,109198.05,66106.35,43091.7
OI0000087,O000039,P0106,3,5,6993.07,5158.92,1834.15
OI0000088,O000039,P0249,2,15,18764.5,13700.1,5064.4
OI0000089,O000040,P0150,1,0,42204.74,25025.57,17179.17
OI0000090,O000040,P0155,5,25,17135.44,17588.05,-452.61
OI0000091,O000040,P0004,1,15,9478.76,8352.38,1126.38
OI0000092,O000043,P0199,3,15,36729.79,28960.83,7768.96
OI0000093,O000043,P0210,5,0,19059.1,14886.7,4172.4
OI0000094,O000043,P0233,5,20,56313.88,61671.51,-5357.63
OI0000095,O000043,P0211,1,15,51234.01,52825.56,-1591.55
OI0000096,O000046,P0058,1,5,18423.32,11413.87,7009.45
OI0000097,O000046,P0136,5,20,82146.68,74022.85,8123.83
OI0000098,O000046,P0170,4,5,19382.89,15361.0,4021.89
OI0000099,O000046,P0237,2,5,8088.03,5301.86,2786.17
OI0000100,O000047,P0010,4,0,22603.96,12695.96,9908.0
OI0000101,O000047,P0150,2,15,71748.06,50051.14,21696.92
OI0000102,O000049,P0047,2,0,9042.76,6739.9,2302.86
