return_id,order_id,product_id,return_reason,return_date
R000001,O000006,P0071,Damaged Product,2025-10-23
R000002,O000007,P0193,Size/Fit Issue,2025-08-15
R000003,O000016,P0247,Quality Not as Expected,2025-10-13
R000004,O000016,P0184,Changed Mind,2025-10-05
R000005,O000018,P0143,Defective Product,2024-02-15
R000006,O000021,P0070,Defective Product,2024-05-31
R000007,O000021,P0140,Quality Not as Expected,2024-05-21
R000008,O000026,P0090,Size/Fit Issue,2026-01-02
R000009,O000029,P0090,Size/Fit Issue,2025-08-09
R000010,O000036,P0046,Quality Not as Expected,2025-08-21
R000011,O000043,P0199,Changed Mind,2025-10-14
R000012,O000049,P0047,Size/Fit Issue,2024-12-11
R000013,O000050,P0121,Changed Mind,2025-09-04
R000014,O000050,P0027,Defective Product,2025-09-06
R000015,O000063,P0059,Quality Not as Expected,2024-10-24
R000016,O000068,P0054,Wrong Product Received,2025-05-19
R000017,O000068,P0206,Quality Not as Expected,2025-05-14
R000018,O000074,P0124,Damaged Product,2025-03-13
R000019,O000075,P0122,Size/Fit Issue,2024-11-30
R000020,O000075,P0145,Defective Product,2024-12-23
R000021,O000075,P0121,Size/Fit Issue,2024-12-15
R000022,O000082,P0237,Damaged Product,2026-01-03
R000023,O000094,P0231,Wrong Product Received,2025-09-11
R000024,O000124,P0074,Defective Product,2024-08-21
R000025,O000125,P0089,Size/Fit Issue,2024-12-06
R000026,O000125,P0091,Late Delivery,2024-11-29
R000027,O000127,P0170,Size/Fit Issue,2025-11-28
R000028,O000155,P0198,Defective Product,2025-05-10
R000029,O000160,P0115,Defective Product,2025-12-13
R000030,O000160,P0170,Size/Fit Issue,2025-12-14
R000031,O000167,P0036,Damaged Product,2025-11-20
R000032,O000177,P0141,Size/Fit Issue,2025-11-17
R000033,O000185,P0090,Size/Fit Issue,2025-04-02
R000034,O000193,P0074,Size/Fit Issue,2024-01-31
R000035,O000193,P0240,Size/Fit Issue,2024-02-02
R000036,O000199,P0038,Defective Product,2024-07-28
R000037,O000199,P0117,Late Delivery,2024-07-30
R000038,O000200,P0037,Defective Product,2025-10-11
R000039,O000203,P0245,Damaged Product,2025-07-29
R000040,O000207,P0179,Defective Product,2025-08-14
R000041,O000209,P0221,Wrong Product Received,2025-11-04
R000042,O000215,P0200,Quality Not as Expected,2024-05-02
R000043,O000226,P0155,Changed Mind,2024-10-10
R000044,O000230,P0109,Size/Fit Issue,2025-04-03
R000045,O000241,P0093,Quality Not as Expected,2024-10-14
R000046,O000243,P0136,Wrong Product Received,2024-08-28
R000047,O000244,P0049,Quality Not as Expected,2025-06-20
R000048,O000249,P0095,Quality Not as Expected,2025-06-21
R000049,O000259,P0220,Size/Fit Issue,2025-04-07
R000050,O000265,P0241,Damaged Product,2024-04-03
R000051,O000268,P0014,Changed Mind,2024-12-25
R000052,O000273,P0071,Late Delivery,2024-03-14
R000053,O000276,P0147,Defective Product,2024-05-07
R000054,O000283,P0205,Changed Mind,2025-02-28
R000055,O000284,P0166,Defective Product,2024-11-26
R000056,O000284,P0171,Damaged Product,2024-11-17
R000057,O000295,P0084,Size/Fit Issue,2024-12-07
R000058,O000296,P0204,Wrong Product Received,2025-01-06
R000059,O000298,P0240,Wrong Product Received,2026-01-22
R000060,O000309,P0248,Quality Not as Expected,2025-01-15
R000061,O000311,P0057,Wrong Product Received,2025-07-31
R000062,O000322,P0051,Defective Product,2024-05-25
R000063,O000322,P0210,Late Delivery,2024-05-20
R000064,O000327,P0061,Defective Product,2025-05-05
R000065,O000334,P0091,Quality Not as Expected,2024-09-08
R000066,O000341,P0141,Damaged Product,2024-11-16
R000067,O000351,P0186,Defective Product,2024-12-05
R000068,O000355,P0185,Wrong Product Received,2024-08-28
R000069,O000359,P0142,Damaged Product,2024-05-28
R000070,O000368,P0009,Damaged Product,2025-11-29
R000071,O000369,P0047,Defective Product,2024-02-24
R000072,O000379,P0200,Size/Fit Issue,2024-11-10
R000073,O000384,P0145,Changed Mind,2025-04-22
R000074,O000388,P0013,Wrong Product Received,2025-02-01
R000075,O000391,P0190,Defective Product,2025-08-28
R000076,O000410,P0047,Defective Product,2025-03-25
R000077,O000421,P0155,Wrong Product Received,2025-07-29
R000078,O000428,P0007,Size/Fit Issue,2024-09-18
R000079,O000433,P0163,Late Delivery,2025-04-03
R000080,O000436,P0035,Quality Not as Expected,2025-05-20
