product_id,product_name,category,sub_category,cost_price,selling_price,supplier
P0001,Coffee Maker 546,Home & Kitchen,Kitchen Appliances,810.8,1303.53,Global Retail Supply
P0002,Cycling Helmet 337,Sports,Outdoor Equipment,5478.25,7860.72,Nova Supply Chain
P0003,Decorative Vase 772,Home & Kitchen,Home Decor,9355.05,12136.91,Nova Supply Chain
P0004,Sports Backpack 768,Sports,Outdoor Equipment,8352.38,11151.48,Global Retail Supply
P0005,Daily Moisturizer 807,Beauty,Skincare,2721.14,3796.42,Global Retail Supply
P0006,Slim Fit Jeans 720,Clothing,Jeans,2400.04,3207.02,Urban Goods
P0007,Modern Office Chair 670,Home & Kitchen,Furniture,1075.01,1938.59,Prime Distributors
P0008,Wall Clock 278,Home & Kitchen,Home Decor,16119.31,20836.36,TechSource India
P0009,NoiseFree X 216,Electronics,Headphones,28996.24,49978.69,Global Retail Supply
P0010,Cycling Helmet 903,Sports,Outdoor Equipment,3173.99,5650.99,Elite Wholesale
P0011,Wooden Bookshelf 994,Home & Kitchen,Furniture,9521.23,13272.38,Nova Supply Chain
P0012,ActiveWatch 961,Electronics,Smartwatches,48276.65,60827.5,Elite Wholesale
P0013,Sunscreen SPF 50 142,Beauty,Skincare,1559.33,2635.07,TechSource India
P0014,Winter Jacket 845,Clothing,Jackets,1391.21,2106.68,Elite Wholesale
P0015,Yoga Mat 762,Sports,Fitness Equipment,4358.3,5774.19,TechSource India
P0016,Casual Sneakers 887,Clothing,Shoes,2891.39,4729.68,Urban Goods
P0017,Coffee Maker 275,Home & Kitchen,Kitchen Appliances,1841.0,2862.66,Urban Goods
P0018,Decorative Vase 351,Home & Kitchen,Home Decor,3299.8,4468.99,Urban Goods
P0019,Regular Fit Jeans 523,Clothing,Jeans,4297.88,5549.11,Elite Wholesale
P0020,Study Table 249,Home & Kitchen,Furniture,14177.97,19437.68,Elite Wholesale
P0021,Galaxy Pro 422,Electronics,Smartphones,24544.06,33029.59,Urban Goods
P0022,FitWatch Pro 776,Electronics,Smartwatches,43444.26,73917.73,Elite Wholesale
